distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
10001,Avalon,0.0,11.1,0.5,55.9,14.4,17.8,-55.9,-44.8,-55.4,0.0,-41.5,-38.099999999999994,LPC,55.9,Newfoundland
10002,Bonavista--Burin--Trinity,0.0,10.1,0.8,81.8,7.3,0.0,-81.8,-71.7,-81.0,0.0,-74.5,-81.8,LPC,81.8,Newfoundland
10003,Coast of Bays--Central--Notre Dame,0.0,18.3,0.8,74.8,6.1,0.0,-74.8,-56.5,-74.0,0.0,-68.7,-74.8,LPC,74.8,Newfoundland
10004,Labrador,0.0,13.9,0.0,71.8,14.4,0.0,-71.8,-57.9,-71.8,0.0,-57.4,-71.8,LPC,71.8,Newfoundland
10005,Long Range Mountains,0.0,12.2,2.7,73.9,11.3,0.0,-73.9,-61.7,-71.2,0.0,-62.60000000000001,-73.9,LPC,73.9,Newfoundland
10006,St. John's East/St. John's-Est,0.0,6.5,1.1,46.7,45.3,0.3,-46.7,-40.2,-45.6,0.0,-1.4000000000000057,-46.400000000000006,LPC,46.7,Newfoundland
10007,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,0.0,4.6,0.8,57.9,36.8,0.0,-57.9,-53.3,-57.1,0.0,-21.1,-57.9,LPC,57.9,Newfoundland
11001,Cardigan,0.0,16.2,6.4,65.0,11.1,1.3,-65.0,-48.8,-58.6,0.0,-53.9,-63.7,LPC,65.0,PEI
11002,Charlottetown,0.0,14.8,5.8,56.3,23.1,0.0,-56.3,-41.5,-50.5,0.0,-33.199999999999996,-56.3,LPC,56.3,PEI
11003,Egmont,0.0,29.0,2.6,49.3,19.2,0.0,-49.3,-20.299999999999997,-46.699999999999996,0.0,-30.099999999999998,-49.3,LPC,49.3,PEI
11004,Malpeque,0.0,17.6,9.2,62.1,11.2,0.0,-62.1,-44.5,-52.900000000000006,0.0,-50.900000000000006,-62.1,LPC,62.1,PEI
12001,Cape Breton--Canso,0.0,14.4,3.0,74.4,8.2,0.0,-74.4,-60.00000000000001,-71.4,0.0,-66.2,-74.4,LPC,74.4,Nova Scotia
12002,Central Nova/Nova-Centre,0.0,25.8,4.1,58.5,10.2,1.3,-58.5,-32.7,-54.4,0.0,-48.3,-57.2,LPC,58.5,Nova Scotia
12003,Cumberland--Colchester,0.0,26.5,3.6,63.7,5.7,0.4,-63.7,-37.2,-60.1,0.0,-58.0,-63.300000000000004,LPC,63.7,Nova Scotia
12004,Dartmouth--Cole Harbour,0.0,14.0,3.4,58.2,24.4,0.0,-58.2,-44.2,-54.800000000000004,0.0,-33.800000000000004,-58.2,LPC,58.2,Nova Scotia
12005,Halifax,0.0,8.6,3.3,51.7,36.1,0.2,-51.7,-43.1,-48.400000000000006,0.0,-15.600000000000001,-51.5,LPC,51.7,Nova Scotia
