distnum,distname,type,lastname,middlename,firstname,party,numvotes,voteshare,rejected,totalvotes
10001,Avalon,validated,Chapman,,Matthew,Conservative,12855.0,31.1,397.0,41731.0
10001,Avalon,validated,Malone,,Greg,Green Party,2215.0,5.4,397.0,41731.0
10001,Avalon,validated,McDonald,,Kenneth,Liberal,19122.0,46.3,397.0,41731.0
10001,Avalon,validated,Movelle,,Lea Mary,NDP-New Democratic Party,7142.0,17.3,397.0,41731.0
10002,Bonavista--Burin--Trinity,validated,Cooper,,Matthew,NDP-New Democratic Party,3855.0,12.0,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Reichel,,Kelsey,Green Party,920.0,2.9,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Rogers,,Churence,Liberal,14707.0,45.7,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Vokey,,Sharon,Conservative,12697.0,39.5,609.0,32788.0
10003,Coast of Bays--Central--Notre Dame,validated,Bracci,,Alex,Conservative,12081.0,35.3,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,Joe,,Noel,NDP-New Democratic Party,4224.0,12.4,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,Simms,,Scott,Liberal,16514.0,48.3,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,White,,Byron,Green Party,1363.0,4.0,770.0,34952.0
10004,Labrador,validated,Colbourne,,Tyler,Green Party,224.0,2.0,139.0,11558.0
10004,Labrador,validated,Flemming,,Larry,Conservative,3548.0,31.1,139.0,11558.0
10004,Labrador,validated,Gray,,Michelene,NDP-New Democratic Party,2796.0,24.5,139.0,11558.0
10004,Labrador,validated,Jones,,Yvonne,Liberal,4851.0,42.5,139.0,11558.0
10005,Long Range Mountains,validated,Eisses,,Josh,Conservative,10873.0,28.3,576.0,39002.0
10005,Long Range Mountains,validated,Hutchings,,Gudie,Liberal,18199.0,47.4,576.0,39002.0
10005,Long Range Mountains,validated,Knill,,Lucas,Green Party,1334.0,3.5,576.0,39002.0
10005,Long Range Mountains,validated,Miles,,Robert,VCP,411.0,1.1,576.0,39002.0
10005,Long Range Mountains,validated,Pike,,Holly,NDP-New Democratic Party,7609.0,19.8,576.0,39002.0
10006,St. John's East,validated,Harris,,Jack,NDP-New Democratic Party,21148.0,46.9,528.0,45600.0
10006,St. John's East,validated,Peters,,David,Green Party,821.0,1.8,528.0,45600.0
10006,St. John's East,validated,Wall,,Joedy,Conservative,8141.0,18.1,528.0,45600.0
10006,St. John's East,validated,Whalen,,Nick,Liberal,14962.0,33.2,528.0,45600.0
10007,St. John's South--Mount Pearl,validated,Anonsen,,Anne Marie,NDP-New Democratic Party,10890.0,26.8,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Hayward,,Alexandra,Green Party,740.0,1.8,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Jones,,David,Christian Heritage Party,141.0,0.3,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Martin,,Terry,Conservative,7767.0,19.1,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,O'Regan,,Seamus,Liberal,20793.0,51.1,592.0,41258.0
